THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
657,867,803,991,990,2
657,866,802,991,989,2
657,858,797,989,988,2
657,857,793,989,987,2
657,856,794,989,987,2
657,855,794,989,987,2
657,855,795,989,987,2
657,854,793,989,987,2
657,854,794,989,987,2
657,853,795,988,987,2
658,852,793,988,986,2
645,851,749,953,956,3
645,858,786,956,958,3
645,845,786,950,953,3
645,849,790,951,954,3
645,855,794,954,957,3
645,853,795,953,956,3
645,852,794,953,956,3
645,852,794,953,956,3
645,852,794,953,956,3
645,852,794,953,956,3
645,852,794,953,956,3
644,871,805,961,963,3
644,867,806,960,962,3
644,850,796,953,955,3
644,850,794,953,956,3
644,850,794,953,955,3
644,850,793,953,955,3
644,850,793,953,955,3
644,850,793,953,956,3
644,850,793,953,955,3
644,850,793,953,956,3
644,851,794,953,956,3
644,850,793,953,956,3
644,851,792,953,956,3
644,850,792,953,956,3
644,851,792,953,955,3
644,850,792,953,955,3
644,850,792,953,956,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,791,953,955,3
644,849,791,953,955,3
644,849,793,953,955,3
644,850,791,953,956,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,792,953,955,3
644,850,791,953,955,3
644,850,794,953,955,3
644,850,790,953,955,3
644,849,791,953,955,3
644,849,791,953,955,3
644,849,791,953,955,3
644,849,790,953,955,3
644,849,790,953,955,3
644,849,791,953,955,3
644,849,790,953,955,3
644,849,790,953,955,3
644,849,790,953,955,3
644,849,790,953,955,3
644,849,789,953,955,3
644,848,789,953,955,3
644,849,789,953,955,3
644,849,790,953,955,3
644,848,791,953,955,3
644,849,790,953,955,3
644,848,790,953,955,3
644,848,791,953,955,3
644,848,791,952,955,3
644,848,791,952,955,3
644,848,790,953,955,3
644,848,790,953,955,3
644,848,790,953,955,3
644,848,791,953,955,3
644,848,790,952,955,3
644,847,789,952,955,3
644,847,787,952,955,3
644,847,791,952,955,3
644,847,790,952,955,3
644,847,790,952,955,3
644,847,790,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,789,952,955,3
644,846,789,952,955,3
644,847,789,952,954,3
644,847,789,952,955,3
644,847,789,952,955,3
644,847,790,952,955,3
644,847,790,952,955,3
644,847,790,952,955,3
644,847,789,952,955,3
644,846,789,952,954,3
644,846,788,952,954,3
644,846,788,952,955,3
644,846,788,952,954,3
644,846,788,952,955,3
644,846,788,952,955,3
644,846,788,952,955,3
644,846,788,952,955,3
644,846,788,952,955,3
644,846,788,952,954,3
644,846,788,952,955,3
644,846,788,952,955,3
644,846,788,952,954,3
644,846,787,952,955,3
644,846,788,952,954,3
644,846,788,952,955,3
644,846,788,952,954,3
644,846,788,952,954,3
644,846,788,952,954,3
644,846,789,952,955,3
645,846,788,952,955,3
644,846,788,952,954,3
644,846,789,952,955,3
644,847,790,952,955,3
644,847,790,952,955,3
645,847,789,952,955,3
644,847,788,952,955,3
645,847,788,952,955,3
645,847,787,952,955,3
645,847,788,952,955,3
645,847,788,952,955,3
645,847,788,952,955,3
645,847,788,952,955,3
645,846,787,952,955,3
645,847,789,953,955,3
645,846,790,952,955,3
645,846,791,952,954,3
645,847,791,952,955,3
645,846,790,952,954,3
645,846,787,952,955,3
645,846,786,952,954,3
645,846,789,952,955,3
645,846,788,952,954,3
645,846,788,952,954,3
645,846,787,952,954,3
645,846,788,952,954,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,954,3
645,846,787,952,954,3
645,846,787,952,954,3
645,846,787,952,954,3
645,846,787,952,954,3
645,846,787,952,954,3
645,847,787,953,955,3
645,847,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,847,787,952,955,3
645,846,786,952,955,3
645,847,788,952,955,3
645,847,788,952,955,3
645,846,787,952,955,3
645,847,788,952,955,3
645,847,788,952,955,3
645,847,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,787,952,955,3
645,846,788,952,955,3
645,847,787,952,955,3
645,846,787,952,955,3
644,847,787,952,955,3
645,846,787,952,955,3
644,846,787,952,955,3
645,846,787,952,955,3
